name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
Hilton Food Group,HFG,HFG.L,Food Producers,2024,GBP,3821400000.0,432700000.0,94500000.0,39300000.0,0.1132,0.0247,0.0103,2026-08-10
Hilton Food Group,HFG,HFG.L,Food Producers,2025,GBP,4214600000.0,436600000.0,54300000.0,78900000.0,0.1036,0.0129,0.0187,2026-08-10
Hochschild Mining,HOC,HOC.L,Basic Resources,2022,USD,735643000.0,208000000.0,47328000.0,2961000.0,0.2827,0.0643,0.004,2026-08-10
Hochschild Mining,HOC,HOC.L,Basic Resources,2023,USD,693716000.0,185502000.0,83751000.0,-55006000.0,0.2674,0.1207,-0.0793,2026-08-10
Hochschild Mining,HOC,HOC.L,Basic Resources,2024,USD,947696000.0,342433000.0,226595000.0,97005000.0,0.3613,0.2391,0.1024,2026-08-10
Hochschild Mining,HOC,HOC.L,Basic Resources,2025,USD,1182148000.0,504209000.0,345380000.0,201900000.0,0.4265,0.2922,0.1708,2026-08-10
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,2022,GBP,193741000.0,130636000.0,55410000.0,37451000.0,0.6743,0.286,0.1933,2026-08-10
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,2023,GBP,215082000.0,136874000.0,56541000.0,34151000.0,0.6364,0.2629,0.1588,2026-08-10
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,2024,GBP,230399000.0,145498000.0,60645000.0,29910000.0,0.6315,0.2632,0.1298,2026-08-10
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,2025,GBP,250662000.0,156968000.0,59352000.0,34609000.0,0.6262,0.2368,0.1381,2026-08-10
Hunting,HTG,HTG.L,"Oil, Gas and Coal",2022,USD,725800000.0,171400000.0,500000.0,-4600000.0,0.2362,0.0007,-0.0063,2026-08-10
Hunting,HTG,HTG.L,"Oil, Gas and Coal",2023,USD,929100000.0,227700000.0,46900000.0,110300000.0,0.2451,0.0505,0.1187,2026-08-10
Hunting,HTG,HTG.L,"Oil, Gas and Coal",2024,USD,1048900000.0,271900000.0,86300000.0,-28000000.0,0.2592,0.0823,-0.0267,2026-08-10
Hunting,HTG,HTG.L,"Oil, Gas and Coal",2025,USD,1018800000.0,279800000.0,68500000.0,41100000.0,0.2746,0.0672,0.0403,2026-08-10
IP Group,IPO,IPO.L,Financial Services,2022,GBP,-313200000.0,,,-341500000.0,,,1.0904,2026-08-10
IP Group,IPO,IPO.L,Financial Services,2023,GBP,-145700000.0,,,-171300000.0,,,1.1757,2026-08-10
IP Group,IPO,IPO.L,Financial Services,2024,GBP,-179500000.0,,,-207000000.0,,,1.1532,2026-08-10
IP Group,IPO,IPO.L,Financial Services,2025,GBP,90600000.0,,,66900000.0,,,0.7384,2026-08-10
ITV,ITV,ITV.L,Media,2022,GBP,3728000000.0,,519000000.0,428000000.0,,0.1392,0.1148,2026-08-10
ITV,ITV,ITV.L,Media,2023,GBP,3624000000.0,,238000000.0,210000000.0,,0.0657,0.0579,2026-08-10
